train_loss,train_accuracy,test_loss,test_accuracy
0.19240962612330914,0.906965696569657,0.07647544326344,0.9786978697869787
0.06594039647565224,0.9785853585358536,0.03026087645079774,0.9932493249324933
0.03532391398553591,0.9922117211721172,0.02413494653141382,0.9938493849384938
0.032105043062241746,0.9928867886788679,0.02649291525405204,0.9937493749374937
0.03132962953539099,0.9928117811781179,0.023438123908855718,0.9937993799379938
0.026833473327594403,0.9934243424342434,0.01964928280130045,0.9952995299529953
0.026494203507292695,0.994024402440244,0.024927094852718816,0.9936493649364937
0.021712186687345373,0.9938743874387439,0.026163603030569173,0.9947494749474948
0.02191824592427438,0.9946494649464946,0.027799563427092385,0.9947994799479948
0.020978826269246565,0.9949119911991199,0.021965737056205446,0.9947494749474948
0.020796305250956357,0.9945994599459946,0.019731430765882928,0.9955995599559956
0.020397755768024807,0.9948619861986199,0.018824790116210764,0.9948994899489949
0.018822164029271973,0.99496199619962,0.017940236907080725,0.9948994899489949
0.01842428471145613,0.995049504950495,0.01884537001545852,0.9958995899589959
0.017427571103605526,0.9955495549554956,0.017728261090982366,0.9955995599559956
0.01750825977216977,0.9952745274527453,0.016497631997634005,0.995099509950995
0.018259855408169625,0.994974497449745,0.017641530930713505,0.9969496949694969
0.016379686233496334,0.9957245724572458,0.022287405731713106,0.9946494649464946
0.01815961432489949,0.9952870287028703,0.016929152888917796,0.9953495349534953
0.017443109370359398,0.9956245624562456,0.028000724434737112,0.9947494749474948
0.01760555259863881,0.9954870487048705,0.016420701978652065,0.995999599959996
0.015547547345116946,0.9958620862086208,0.03842855416063684,0.9921492149214921
0.015588963475640325,0.9958370837083709,0.015212190666130129,0.9952495249524953
0.016301928329433658,0.9955620562056205,0.015628439924018165,0.9963496349634964
0.01601760500274058,0.9955870587058706,0.017991372698851798,0.9949494949494949
0.018870066098525744,0.9954370437043705,0.014574492730216583,0.9952495249524953
0.021191772989421098,0.996012101210121,0.2034243374322614,0.9796979697969797
0.018826996051113133,0.9954370437043705,0.015956926644138114,0.9967496749674968
0.015472831068262508,0.9955745574557455,0.016582051482608745,0.9951495149514952
0.014381824359230319,0.9959745974597459,0.01607551338512447,0.9956495649564957
